Uniform,Lima,160.0
Charlie,Alpha,60.0
Kilo,Zulu,120.0
Foxtrot,Sierra,160.0
Mike,Echo,105.0
Delta,Papa,155.0
Point 18,Delta,20.0
Victor,Sierra,40.0
Romeo,Echo,160.0
Point 18,Tango,95.0
Echo,Romeo,30.0
Yankee,Delta,95.0
Point 18,Kilo,105.0
India,Echo,100.0
Zulu,Oscar,85.0
Yankee,Charlie,85.0
Romeo,Xray,160.0
Alpha,Quebec,20.0
November,Romeo,165.0
Romeo,Lima,80.0
Oscar,Bravo,160.0
Mike,Echo,95.0
Romeo,Victor,155.0
Sierra,Kilo,95.0
Victor,November,120.0
Sierra,Uniform,140.0
Mike,November,130.0
India,Mike,145.0
Bravo,Yankee,95.0
Lima,Charlie,130.0
Juliette,Xray,90.0
Golf,Zulu,105.0
Whiskey,Yankee,110.0
India,Lima,125.0
Alpha,Tango,150.0
Victor,Xray,90.0
Juliette,Kilo,25.0
November,Lima,35.0
Charlie,Romeo,80.0
Romeo,Yankee,140.0
Xray,Golf,105.0
Uniform,November,45.0
Kilo,Xray,70.0
Quebec,Juliette,85.0
Yankee,November,105.0
Bravo,Foxtrot,70.0
Hotel,Oscar,105.0
Tango,Echo,75.0
Papa,Charlie,90.0
Quebec,Uniform,75.0
Mike,Kilo,135.0
Xray,Golf,145.0
Mike,Zulu,160.0
Juliette,Point 18,140.0
Papa,Tango,155.0
Lima,Kilo,140.0
India,Delta,50.0
Papa,Delta,80.0
Lima,Yankee,160.0
India,Victor,90.0
Lima,Whiskey,150.0
Charlie,Uniform,160.0
Sierra,Romeo,95.0
Echo,Victor,140.0
Yankee,Romeo,45.0
Yankee,Xray,20.0
Zulu,Sierra,60.0
Delta,Papa,85.0
Xray,Quebec,110.0
Romeo,Sierra,80.0
Echo,Lima,145.0
Whiskey,Romeo,160.0
Charlie,Zulu,110.0
Victor,Foxtrot,90.0
Sierra,Delta,150.0
Uniform,Echo,25.0
Foxtrot,Yankee,70.0
Bravo,Romeo,70.0
Sierra,Lima,85.0
Uniform,Juliette,140.0
Uniform,Mike,165.0
India,Yankee,95.0
Juliette,Romeo,165.0
Xray,Whiskey,90.0
Delta,Bravo,50.0
Hotel,Tango,130.0
Bravo,Juliette,160.0
Tango,Mike,95.0
Yankee,Lima,50.0
Kilo,Foxtrot,60.0
Alpha,Yankee,65.0
Quebec,Lima,165.0
Charlie,Delta,160.0
Golf,Yankee,115.0
Papa,Mike,150.0
Delta,Uniform,110.0
Lima,Mike,55.0
Lima,Xray,30.0
Whiskey,Bravo,90.0
Yankee,Oscar,50.0
Foxtrot,Kilo,25.0
Bravo,Echo,145.0
Charlie,Whiskey,45.0
Yankee,Juliette,80.0
Point 18,Alpha,165.0
Echo,Romeo,130.0
Foxtrot,Yankee,110.0
Romeo,Xray,80.0
Delta,Papa,145.0
Sierra,Whiskey,150.0
Quebec,Sierra,55.0
Xray,Lima,160.0
Xray,Charlie,100.0
India,Yankee,25.0
Golf,Charlie,60.0
Juliette,Tango,145.0
Bravo,Juliette,115.0
Golf,Zulu,45.0
Whiskey,Golf,155.0
Zulu,Lima,90.0
Delta,November,25.0
Golf,Quebec,155.0
November,Sierra,60.0
Bravo,Xray,45.0
Echo,Quebec,40.0
Uniform,Point 18,115.0
Sierra,Bravo,35.0
Echo,Quebec,110.0
Yankee,Mike,100.0
India,Yankee,85.0
Point 18,Mike,90.0
Uniform,Romeo,75.0
Lima,Bravo,115.0
Oscar,Tango,40.0
Papa,Kilo,105.0
Bravo,Yankee,95.0
Tango,Point 18,35.0
Romeo,Point 18,130.0
India,Tango,105.0
Quebec,Golf,155.0
Kilo,Zulu,165.0
Uniform,Quebec,160.0
Point 18,November,55.0
Whiskey,November,55.0
Alpha,Juliette,110.0
Alpha,Xray,150.0
Quebec,Yankee,110.0
November,Alpha,35.0
Yankee,Echo,110.0
Point 18,Papa,25.0
Juliette,Mike,85.0
Quebec,India,120.0
Oscar,Papa,130.0
Papa,Quebec,120.0
Mike,Romeo,135.0
November,Mike,65.0
Kilo,Delta,50.0
Yankee,Golf,85.0
India,November,105.0
Foxtrot,Lima,80.0
Quebec,Victor,150.0
Mike,Papa,60.0
Charlie,Zulu,45.0
Xray,Tango,140.0
Bravo,Hotel,130.0
Lima,Juliette,140.0
Zulu,Golf,145.0
Foxtrot,Victor,45.0
Juliette,Victor,155.0
Zulu,Papa,135.0
November,Lima,20.0
November,Quebec,140.0
Kilo,Tango,90.0
Mike,Bravo,40.0
Xray,Mike,25.0
Lima,Charlie,165.0
Tango,Foxtrot,20.0
November,Quebec,55.0
Point 18,Alpha,45.0
Quebec,Juliette,25.0
Bravo,Whiskey,155.0
Echo,Whiskey,60.0
Victor,Charlie,115.0
Yankee,Golf,80.0
Bravo,Yankee,25.0
Mike,Oscar,115.0
Golf,India,105.0
Mike,Quebec,120.0
India,Golf,130.0
Bravo,November,20.0
Juliette,Delta,30.0
Whiskey,Alpha,160.0
November,Papa,135.0
Bravo,Lima,165.0
Yankee,Alpha,70.0
Mike,Tango,125.0
Whiskey,Sierra,35.0
November,Golf,55.0
Juliette,Foxtrot,125.0
India,Charlie,40.0
Point 18,Kilo,150.0
Alpha,Romeo,100.0
Kilo,Foxtrot,105.0
Romeo,Oscar,30.0
Mike,Quebec,165.0
Charlie,Mike,160.0
Foxtrot,Xray,35.0
Charlie,Point 18,50.0
Whiskey,Yankee,70.0
Uniform,Romeo,100.0
Alpha,Sierra,100.0
Tango,Mike,80.0
Zulu,November,55.0
Lima,Romeo,70.0
Victor,Delta,115.0
Papa,November,30.0
Alpha,Echo,30.0
Xray,Bravo,135.0
Quebec,Tango,25.0
Papa,Delta,95.0
Papa,Xray,55.0
November,Kilo,125.0
November,Yankee,100.0
Echo,Quebec,65.0
November,Papa,115.0
Oscar,Golf,120.0
Echo,India,105.0
Uniform,Charlie,85.0
Delta,Sierra,165.0
Victor,Alpha,120.0
Oscar,Echo,150.0
Tango,Golf,20.0
Juliette,Zulu,40.0
Charlie,Xray,50.0
Hotel,Tango,60.0
Uniform,India,115.0
Uniform,Romeo,85.0
November,Uniform,110.0
Tango,Papa,140.0
India,Juliette,35.0
Lima,Xray,95.0
Bravo,Quebec,75.0
Lima,Alpha,30.0
Bravo,Papa,150.0
Delta,India,85.0
Charlie,Oscar,115.0
Oscar,Xray,135.0
Bravo,Lima,125.0
Whiskey,Bravo,25.0
Whiskey,Victor,150.0
Delta,Echo,65.0
Yankee,Zulu,115.0
Hotel,Uniform,70.0
Quebec,Tango,150.0
Foxtrot,Lima,100.0
Hotel,Mike,115.0
Papa,November,55.0
Yankee,India,165.0
Lima,Romeo,70.0
Charlie,Whiskey,110.0
Papa,Point 18,45.0
Quebec,Whiskey,40.0
Uniform,Victor,35.0
India,Quebec,70.0
Yankee,Sierra,35.0
Uniform,Victor,155.0
Yankee,Xray,135.0
Bravo,Hotel,135.0
Uniform,Xray,155.0
Golf,Zulu,20.0
Mike,India,20.0
Oscar,Romeo,120.0
Lima,Kilo,90.0
Kilo,Mike,40.0
Quebec,Victor,130.0
Juliette,Charlie,140.0
Zulu,Whiskey,50.0
